"Time","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/04/2025,       105.6,    145,"",    255,        12.4,    145,"",    255,"",    255,        71.6,    145,         180,    145,         0.8,    145,       955.5,    145,    426076.0,    145
00:00:00 01/05/2025,       115.8,    145,"",    255,        15.4,    145,"",    255,"",    255,        72.1,    145,           0,    145,         0.0,    145,       954.4,    145,    654626.4,    145
00:00:00 01/06/2025,        26.2,    145,"",    255,        23.2,    145,"",    255,"",    255,        66.2,    145,           0,    145,         0.0,    145,       958.5,    145,    787154.0,    145
00:00:00 01/07/2025,       150.2,    145,"",    255,        20.8,    145,"",    255,"",    255,        71.0,    145,           0,    145,         0.0,    145,       954.3,    145,    670078.0,    145
00:00:00 01/08/2025,       147.0,    145,"",    255,        21.3,    145,"",    255,"",    255,        72.7,    145,           0,    145,         0.0,    145,       956.2,    145,    632940.4,    145
00:00:00 01/09/2025,       174.0,    145,"",    255,        16.7,    145,"",    255,"",    255,        87.3,    145,           0,    145,         0.0,    145,       958.1,    145,    367757.9,    145
00:00:00 01/10/2025,        28.8,    145,"",    255,        11.1,    145,"",    255,"",    255,        84.6,    145,           0,    145,         0.0,    145,       957.0,    145,    278824.7,    145
00:00:00 01/11/2025,        82.6,    145,"",    255,         4.8,    145,"",    255,"",    255,        86.1,    145,           0,    145,         0.0,    145,       955.8,    145,    125483.1,    145
00:00:00 01/12/2025,        20.0,    145,"",    255,         2.8,    145,"",    255,"",    255,        91.8,    145,           0,    145,         0.0,    145,       960.3,    145,     75878.3,    145
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255

