"Time","T0065","","T0065","","T0065","","T0065","","T0065","","T0065","","T0065","","T0065",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual"
00:00:00 01/04/2025,        79.0,    145,"",    255,        -0.5,    145,"",    255,"",    255,"",    255,         314,    145,         2.2,    145
00:00:00 01/05/2025,       105.4,    145,"",    255,         1.8,    145,"",    255,"",    255,"",    255,         306,    145,         2.2,    145
00:00:00 01/06/2025,        65.4,    145,"",    255,        10.2,    145,"",    255,"",    255,"",    255,         288,    145,         1.9,    145
00:00:00 01/07/2025,        94.2,    145,"",    255,         7.7,    145,"",    255,"",    255,"",    255,         291,    145,         2.2,    145
00:00:00 01/08/2025,       127.2,    145,"",    255,         9.2,    145,"",    255,"",    255,"",    255,         283,    145,         1.6,    145
00:00:00 01/09/2025,        78.0,    145,"",    255,         5.2,    145,"",    255,"",    255,"",    255,         279,    145,         1.4,    145
00:00:00 01/10/2025,        16.0,    145,"",    255,         0.8,    145,"",    255,"",    255,"",    255,         286,    145,         2.1,    145
00:00:00 01/11/2025,        25.2,    145,"",    255,        -2.9,    145,"",    255,"",    255,"",    255,          49,    145,         2.0,    145
00:00:00 01/12/2025,         4.6,    145,"",    255,        -3.3,    145,"",    255,"",    255,"",    255,          82,    145,         1.8,    145
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255

