"Time","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/09/2023,        47.4,      1,        47.4,      1,        20.6,      1,        10.6,      1,        30.6,      1,        69.3,      1,          32,      1,         1.9,      1,       981.2,      1,    498885.8,      1
00:00:00 01/10/2023,       210.8,      1,       210.3,      1,        15.6,      1,         5.4,      1,        26.5,      1,        77.3,      1,          12,      1,         1.5,      1,       977.3,      1,    293128.1,      1
00:00:00 01/11/2023,       156.4,      1,       162.9,      1,         6.3,      1,        -2.1,      1,        17.3,    140,        73.8,      1,           5,      1,         1.4,      1,       972.8,      1,    196156.3,      1
00:00:00 01/12/2023,       111.8,      1,       101.7,      1,         4.2,      1,        -2.5,      1,        15.1,    140,        74.7,      1,           5,      1,         1.3,      1,       979.8,      1,    137911.6,      1
00:00:00 01/01/2024,        66.2,      1,        70.2,      1,         3.3,      1,        -4.6,      1,        16.1,      1,        68.4,      1,           9,      1,         1.5,      1,       981.9,      1,    185365.2,      1
00:00:00 01/02/2024,       125.8,      1,       127.4,      1,         7.8,      1,         0.0,      1,        18.1,      1,        74.5,      1,           3,      1,         1.4,      1,       978.6,      1,    216854.0,      1
00:00:00 01/03/2024,       138.4,      1,       151.5,      1,         9.8,      1,         2.4,      1,        21.3,      1,        74.4,      1,         360,      1,         1.5,      1,       974.2,      1,    327898.9,      1
00:00:00 01/04/2024,        63.0,      1,        48.3,      1,        13.4,      1,         3.5,      1,        28.6,      1,        62.2,      1,          12,      1,         1.9,      1,       978.0,      1,    505096.4,      1
00:00:00 01/05/2024,       296.4,      1,       293.8,      1,        16.0,      1,         8.3,      1,        26.0,    140,        75.8,      1,           9,      1,         0.9,    140,       976.1,      1,    488062.2,      1
00:00:00 01/06/2024,       200.4,      1,       203.0,      1,        20.5,      1,        10.1,    140,        32.1,      1,        72.5,      1,           5,      1,         0.5,    140,       976.7,      1,    618192.5,      1
00:00:00 01/07/2024,       101.4,      1,       101.4,      1,        24.3,      1,        13.9,      1,        35.5,      1,        67.3,      1,          10,      1,         1.7,      1,       976.9,      1,    703894.8,      1
00:00:00 01/08/2024,        42.4,      1,        42.4,      1,        25.0,      1,        17.3,      1,        35.7,    140,        64.9,      1,          27,      1,         2.0,      1,       977.4,      1,    618763.2,      1
00:00:00 01/09/2024,       158.2,      1,       158.2,      1,        18.1,      1,         9.3,      1,        33.1,      1,        66.6,      1,          22,      1,         2.1,      1,       977.0,      1,    333291.9,      1
00:00:00 01/10/2024,       239.8,      1,       239.8,      1,        13.9,      1,         8.1,      1,        22.8,      1,        89.3,      1,         358,      1,         1.0,      1,       981.5,      1,    216293.4,      1
00:00:00 01/11/2024,         5.6,    140,         5.6,    140,         6.9,      1,        -2.1,      1,        19.0,      1,        71.1,      1,          11,      1,         1.0,      1,       984.5,      1,    231603.8,      1
00:00:00 01/12/2024,        22.0,      1,        22.0,      1,         3.8,      1,        -2.1,      1,        11.9,      1,        66.0,      1,          14,      1,         1.5,      1,       984.8,      1,    167110.7,      1
00:00:00 01/01/2025,       114.2,      1,       114.4,      1,         3.6,      1,        -3.2,      1,        14.7,      1,        73.5,      1,         359,      1,         1.2,      1,       982.6,      1,    152563.3,      1
00:00:00 01/02/2025,        31.0,      1,        30.8,      1,         5.8,      1,        -0.7,      1,        15.8,      1,        76.5,      1,           4,      1,         1.2,      1,       986.1,      1,    217091.0,      1
