"Time","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/01/2024,        72.6,    145,"",    255,        -0.8,    145,"",    255,"",    255,        66.6,    145,         351,    145,         1.5,    145,       819.0,    145,    119135.0,    145
00:00:00 01/02/2024,       278.8,    145,"",    255,         1.1,    145,"",    255,"",    255,        74.8,    145,         349,    145,         1.3,    145,       818.2,    145,    163275.1,    145
00:00:00 01/03/2024,       297.4,    145,"",    255,         0.8,    145,"",    255,"",    255,        81.9,    145,         345,    145,         1.2,    145,       814.8,    145,    266790.3,    145
00:00:00 01/04/2024,       125.6,    145,"",    255,         3.3,    145,"",    255,"",    255,        69.7,    145,         354,    145,         1.5,    145,       819.5,    145,    450606.0,    145
00:00:00 01/05/2024,       325.8,    145,"",    255,         6.0,    145,"",    255,"",    255,        92.3,    145,         355,    145,         1.2,    145,       819.3,    145,    424994.7,    145
00:00:00 01/06/2024,       290.2,    145,"",    255,        11.4,    145,"",    255,"",    255,        84.0,    145,           2,    145,         1.4,    145,       822.4,    145,    510117.2,    145
00:00:00 01/07/2024,       178.8,    145,"",    255,        14.6,    145,"",    255,"",    255,        86.8,    145,          13,    145,         1.4,    145,       824.4,    145,    628900.7,    145
00:00:00 01/08/2024,        65.4,    145,"",    255,        15.7,    145,"",    255,"",    255,        85.1,    145,           3,    145,         1.3,    145,       825.4,    145,    536645.9,    145
00:00:00 01/09/2024,       387.2,    145,"",    255,         8.8,    145,"",    255,"",    255,        87.4,    145,         344,    145,         0.9,    145,       821.0,    145,    253651.6,    145
00:00:00 01/10/2024,       428.8,    145,"",    255,         6.8,    145,"",    255,"",    255,        92.6,    145,         356,    145,         0.5,    145,       823.5,    145,    168712.2,    145
00:00:00 01/11/2024,        20.6,    145,"",    255,         2.6,    145,"",    255,"",    255,        62.1,    145,           1,    145,         0.1,    145,       823.1,    145,    166031.1,    145
